"","Year","directedfish_biomass","propmature_large","propmature_small","propmature_large_kg","propmature_small_kg","abundance_small","abundance_large","biomass_small","biomass_large","mature_abundance_small","mature_abundance_large","mature_biomass_small","mature_biomass_large","MarApr_ice","size_at_mat","lag1_mature_abundance_small","lag1_mature_abundance_large","lag1_mature_biomass_small","lag1_mature_biomass_large","lag3_MarApr_ice"
"1",1989,73.45,0.789915966386555,0.301980198019802,0.798052246082155,0.305439187886836,614.357728783673,137.35711476734,53.6056671356871,56.451509636514,5.22855921262729,4.69592982825187,2.84420273749546,2.89299265692398,0.150025164333067,4.50706016562892,NA,NA,NA,NA,NA
"2",1990,149.15,0.532951289398281,0.159509202453988,0.536317892485492,0.16309307583188,479.420176078229,381.237007137359,40.9347789200211,156.658595079446,4.3499156762554,5.31900565310184,2.01882517724157,3.25765365375829,0.378020659083855,4.55226208189912,5.22855921262729,4.69592982825187,2.84420273749546,2.89299265692398,NA
"3",1991,143.06,0.603485838779956,0.168704156479218,0.613295722453887,0.177263738324725,689.386287221467,144.889832606088,58.2294395836068,58.7961650848658,4.76475463674089,4.48231262096983,2.38172417595648,2.39051880935963,0.433937525432213,4.57222436627752,4.3499156762554,5.31900565310184,2.01882517724157,3.25765365375829,NA
"4",1992,104.82,0.734848484848485,0.279742765273312,0.745926251661718,0.282177461311172,300.121621421489,65.253004461384,25.8861037301804,27.3650842028034,4.44214350754596,3.89082125760845,2.1091763283906,2.15815848555093,0.471232142408838,4.43418408693732,4.76475463674089,4.48231262096983,2.38172417595648,2.39051880935963,0.150025164333067
"5",1993,68.02,0.829457364341085,0.434210526315789,0.835235976218533,0.443595225228337,914.544674045655,44.4436213251264,75.9252562356604,18.5908276013196,5.98671559932607,3.63400314328026,3.52540552376996,2.20522945678503,0.33390340673478,4.32405085012411,4.44214350754596,3.89082125760845,2.1091763283906,2.15815848555093,0.378020659083855
"6",1994,34.19,0.581395348837209,0.239669421487603,0.592525692357795,0.246842660655216,907.317212226664,21.6048816112477,76.6534629736132,9.04452225765601,5.38658549722566,2.60719638027877,2.96380245565927,1.15300432574555,0.431896567443436,4.43955102400817,5.98671559932607,3.63400314328026,3.52540552376996,2.20522945678503,0.433937525432213
"7",1995,29.83,0.726415094339623,0.195278969957082,0.733789350254832,0.199006776211594,1030.25198432777,58.0667466015116,88.8786129074168,23.6622911583856,5.30919076775435,3.76539042200387,2.90996325069231,1.72646472342185,0.45912380270022,4.43546719803413,5.38658549722566,2.60719638027877,2.96380245565927,1.15300432574555,0.471232142408838
"8",1996,54.29,0.70873786407767,0.242857142857143,0.722946206684312,0.24484308047305,502.063214438032,155.074711656034,44.3642164990257,63.2315354868237,4.81161214121834,4.7086948967909,2.46590788275374,2.7946088673827,0.206128242172363,4.47896094629934,5.30919076775435,3.76539042200387,2.90996325069231,1.72646472342185,0.33390340673478
"9",1997,114.41,0.621399176954732,0.254416961130742,0.630152678395673,0.2600205300488,151.370823052644,113.000617008815,13.3415363114378,46.7058491584992,3.67658682855309,4.26575248139717,1.48031123341053,2.55588999973049,0.369376366058546,4.55127748876736,4.81161214121834,4.7086948967909,2.46590788275374,2.7946088673827,0.431896567443436
"10",1998,88.1,0.706878306878307,0.25062656641604,0.718257536359117,0.25575957971433,132.506055488207,87.3590076690304,11.2883510640414,36.3665754275158,3.53250448578341,4.13919343687289,1.34264563235642,2.31396311032742,0.326443595449698,4.48719355466057,3.67658682855309,4.26575248139717,1.48031123341053,2.55588999973049,0.45912380270022
