"","YEAR","tot_ms"
"1",1990,4988
"2",1991,6358
"3",1992,5444
"4",1993,3306
"5",1994,5242
"6",1995,4555
"7",1996,3432
"8",1997,7940
"9",1998,8407
"10",1999,4388
"11",2000,5149
"12",2001,5906
"13",2002,2681
"14",2003,3036
"15",2004,1695
"16",2005,2644
"17",2006,3475
"18",2007,2666
"19",2008,0
"20",2009,608
"21",2010,0
"22",2011,413
"23",2012,1
"24",2013,0
"25",2014,0
"26",2015,687
"27",2016,1
"28",2017,3327
"29",2018,1845
"30",2019,2171
"31",2021,2355
"32",2022,1371
"33",2023,1545
"34",2024,1534
